|Cod a homo|CUPS  |
|236300-14 |236300|
|236300-15 |236300|
|236300-16 |236300|
|236300-17 |236300|
|236300-18 |236300|
|236300-19 |236300|
|236300-2  |236300|
|236300-20 |236300|
|236300-21 |236300|
|236300-22 |236300|
|236300-23 |236300|
|236300-24 |236300|
|236300-25 |236300|
|236300-26 |236300|
|236300-27 |236300|
|236300-28 |236300|
|236300-29 |236300|
|236300-38 |236300|
|236300-4  |236300|
|236300-41 |236300|
|236300-42 |236300|
|236300-43 |236300|
|236300-44 |236300|
|236300-45 |236300|
|236300-46 |236300|
|236300-47 |236300|
|236300-48 |236300|
|237100-1  |237100|
|237101-2  |237101|
|237101-23 |237101|
|237101-24 |237101|
|237101-26 |237101|
|237101-27 |237101|
|237101-28 |237101|
|237101-29 |237101|
|237101-3  |237101|
|237101-31 |237101|
|237101-33 |237101|
|237101-34 |237101|
|237101-35 |237101|
|237101-36 |237101|
|237101-37 |237101|
|237101-39 |237101|
|237200-2  |237200|
|237200-22 |237200|
|237200-23 |237200|
|237200-24 |237200|
|237200-25 |237200|
|237200-26 |237200|
|237200-28 |237200|
|237200-31 |237200|
|237200-32 |237200|
|237200-33 |237200|
|237200-36 |237200|
|237200-37 |237200|
|237200-39 |237200|
|237300-2  |237300|
|237300-21 |237300|
|237301-2  |237301|
|237302-2  |237302|
|237302-21 |237302|
|237303-2  |237303|
|237303-22 |237303|
|237401-1  |237401|
|237401-11 |237401|
|237401-2  |237401|
|237401-21 |237401|
|237901-2  |237901|
|240200-1  |240200|
|240200-2  |240200|
|240200-20 |240200|
|240200-31 |240200|
|240300-2  |240300|
|240300.   |240300|
|240400-2  |240400|
|240400-3  |240400|
|241103-2  |241103|
|242102-3  |242102|
|242102-31 |242102|
|242204-2  |242204|
|242400-3  |242400|
|243400-4  |243400|
|247100-2  |247100|
|247100-21 |247100|
|256100-2  |256100|
|263207 P  |63900 |
|263207P   |63900 |
|263208 P  |263206|
|263208P   |263206|
|263209 P  |263200|
|263209P   |263200|
|282100P   |282100|
|283100P   |283100|
|286100P   |286100|
|293500 P  |311300|
|293500P   |311300|
|300203.   |300203|
|314201P   |314201|
|314204 P  |314204|
|314204P   |314204|
|316700 P  |316700|
|316700P   |316700|
|317000 P  |317100|
|317501-3  |317501|
|317502 P  |317501|
|317503 P  |317501|
|319300-2  |319300|
|320202.   |320202|
|323001 P  |323100|
|323100 P  |323100|
|323100-1  |323100|
|323100.   |323100|
|323100P   |323100|
|323101 P  |323100|
|323101P   |323100|
|324001 P  |324200|
|324201 P  |324200|
|324201P   |324200|
|332001 .  |332001|
|332001-2 P|332001|
|332002    |332200|
|332002 P  |332001|
|332002P   |332001|
|332004 P  |332001|
|332004P   |332001|
|332200    |332202|
|332201.   |332201|
|332201P   |332201|
|332202    |332201|
|332601P   |332601|
|340000-1  |343303|
|342200P   |342200|
|343302 P  |343302|
|343302P   |343302|
|343303 P  |343303|
|343303P   |343303|
|345001 P  |345100|
|345100.   |345100|
|345101 P  |345100|
|345101P   |345100|
|345300.   |345300|
|345301 P  |345300|
|345301P   |345300|
|345901 P  |345300|
|347000 P  |347005|
|347000P   |347005|
|347500.   |347500|
|347802-1  |347802|
|351200P   |351200|
|352200P   |352200|
|352400P   |352400|
|355101P   |355101|
|355200P   |355200|
|355201P   |355201|
|358301P   |358301|
|358711P   |358301|
|359000    |361000|
|359000 P  |359300|
|359000 P1 |361701|
|359000P   |363200|
|359700P   |359700|
|360104 P  |360201|
|360104P   |360201|
|361701P   |361701|
|372201P   |876131|
|372301 P  |372301|
|372301.   |372301|
|372301P   |372301|
|372700P   |372700|
|373302-1  |373302|
|373302-1 P|373302|
|373302-1P |373302|
|373400    |373401|
|373400 P  |373400|
|373400P   |373400|
|373402 P  |373402|
|373402P   |373402|
|373500    |352100|
|375100 P2 |375100|
|375100 P3 |375100|
|375100-S3 |375100|
|375100P   |375100|
|375100P1  |375100|
|375100P1M |375100|
|375100P2  |375100|
|375100P3  |375100|
|375100P4  |375100|
|378301P   |377500|
|378302 P  |378500|
|378302P   |378500|
|379401..  |379401|
|379401P   |379401|
|379403 P  |379402|
|379403P   |379402|
|380110P   |380110|
|380210P   |380210|
|380301P   |380301|
|380303-1  |380303|
|380303-1P |380303|
|380810 P  |380810|
|380810.   |380810|
|380810P   |380810|
|380811 P  |380810|
|380811P   |380810|
|383303P   |383303|
|383402P   |383402|
|385700    |385701|
|386301-2  |385920|
|388700-1  |388700|
|388903P   |388903|
|388903P1  |388903|
|389103-001|389103|
|389103-002|389103|
|389103-003|389103|
|389103-2  |389103|
|389103-21 |389103|
|389103-22 |389103|
|389104    |389101|
|389104.   |389101|
|389110  P1|549004|
|389110 P  |389101|
|389110P1  |389101|
|389111 P  |389101|
|389111P   |389101|
|392701P   |392701|
|392702P   |392702|
|392803P   |392803|
|395010-2  |395010|
|395017-2  |395017|
|395061-2  |395061|
|395210 P  |395210|
|395210- 1P|395210|
|395210-1P |395210|
|395210P   |395210|
|395301P   |395301|
|396500 P  |396500|
|396500-1  |396500|
|396500-11 |396500|
|396500P   |396500|
|397306P   |397306|
|399601-7A |399601|
|399804-3  |549802|
|399804-3. |549802|
|405410.   |405410|
|405500-1  |405500|
|405700 P  |405300|
|410300.   |410200|
|410400.   |410100|
|413101P   |413101|
|415010    |415110|
|415110 P  |415110|
|415110.   |415110|
|415110P   |415110|
|420000    |547500|
|420000-1  |547500|
|420000P   |547500|
|423301-2  |423301|
|423303-2  |423303|
|423304-2  |423304|
|423305-2  |423305|
|424000 P  |304100|
|424200-1 P|424200|
|424200-1P |424200|
|424300 P  |446604|
|427000 P  |427100|
|427402.   |427402|
|429200-2  |429200|
|429200-21 |429200|
|429210 P  |429203|
|429210P   |429203|
|431100-2  |431100|
|431100-21 |431100|
|434200P   |434200|
|438100-1 P|438100|
|438100-1P |438100|
|438400 P  |446604|
|439401    |438504|
|441301-2  |441301|
|443100 P1 |443100|
|443102 P  |439200|
|443102P   |439200|
|444303 P1 |444303|
|444303-1  |444303|
|444303P1  |444303|
|444390.   |541200|
|444400 P  |444301|
|444400P   |444301|
|446600 P  |446601|
|446600P1  |446604|
|449300 P  |449300|
|449300P   |449300|
|450000    |446300|
|450000 P  |468012|
|450000 P1 |471110|
|450000P   |468012|
|450000P.  |468012|
|450000P1  |530100|
|451302.   |451302|
|451302P   |451302|
|451303P   |451401|
|451600-2  |451600|
|451600-21 |451600|
|451600.   |451600|
|451600..  |451600|
|451600P1  |451600|
|452301-2  |452301|
|452301-21 |452301|
|452301-22 |452301|
|452301.   |452301|
|452302-2  |452302|
|452401-2  |452401|
|453001-1  |453001|
|453400    |453302|
|454202-2  |454202|
|457301 P  |457300|
|457502 P  |457500|
|457502P   |457500|
|457901.   |457901|
|458400 P  |457600|
|458900 P  |458300|
|458901 P  |458000|
|468001 P  |468000|
|468001P   |468000|
|468011-1  |468011|
|468012-1  |468012|
|471100P   |471100|
|471110 P  |471110|
|471110.   |471110|
|471110P   |471110|
|482301-1  |482301|
|483600-2  |483600|
|483600-21 |483600|
|485401 P  |486200|
|485401P   |486200|
|486201 P  |486200|
|486300 P  |486200|
|486701 P  |486101|
|486900    |486700|
|486900.   |486700|
|487602-1 P|487602|
|487602-1P |487602|
|490400-1 P|490400|
|490400-1P |490400|
|490700 P  |490700|
|490700P   |490700|
|494500P   |494500|
|494601-2  |494601|
|494700-1 P|494700|
|494700-1P |494700|
|497302 P1 |497302|
|497302-1  |497302|
|497302P   |497302|
|497302P1  |497302|
|500000    |605100|
|501100    |501002|
|501100P   |501100|
|501300 P  |501300|
|501300P   |501300|
|501400    |501004|
|502202-1 P|502202|
|502204P   |502204|
|502206 P  |502204|
|502207 P  |502402|
|504000P   |504000|
|504000PM  |504000|
|504000PM1 |504000|
|505100P   |505100|
|505100P1  |505100|
|505100PM  |505100|
|505100PM1 |505100|
|511000P   |511000|
|511100P   |511100|
|512104P   |512104|
|517300P   |517300|
|518300 P  |518300|
|518300P   |518300|
|518500-2  |518500|
|518500P   |518500|
|518600-2  |518600|
|518700P   |518700|
|518801-2  |518801|
|518801P   |518801|
|525000 P  |511000|
|526200 P  |526200|
|526200 P1 |526200|
|526200 P10|526200|
|526200 P11|526200|
|526200 P2 |526200|
|526200 P21|526200|
|526200 P3 |526200|
|526200 P4 |526200|
|526200 P5 |526200|
|526200 P6 |526200|
|526200 P7 |526200|
|526200 P8 |526200|
|526200 P9 |526200|
|526200-1  |526200|
|526200-1 P|526200|
|526200-1P |526200|
|526200P   |526200|
|526200P1  |526200|
|526200P10 |526200|
|526200P11 |526200|
|526200P2  |526200|
|526200P21 |526200|
|526200P3  |526200|
|526200P3M |526200|
|526200P4  |526200|
|526200P5  |526200|
|526200P6  |526200|
|526200P7  |526200|
|526200P8  |526200|
|526200P9  |526200|
|526200PM  |526200|
|527200-1  |527200|
|527200-1P |527200|
|528200 P2 |528200|
|528200-S  |528200|
|528200-S1 |528200|
|528200-S2 |528200|
|528200P   |528200|
|528200P1  |528200|
|528200P2  |528200|
|528300-1  |528300|
|528300-1 P|528300|
|528300-1P |528300|
|530000    |531100|
|530100P   |530100|
|530901.   |530901|
|530901P   |530901|
|53114     |53114 |
|534000P   |534000|
|534300    |534000|
|537300    |530901|
